Designator,Footprint,Quantity,Value,MPN,DNP
"C1, C12, C13, C18, C19, C2, C21, C22, C23, C25, C26, C28, C29, C3, C30, C31, C32, C33, C35, C39, C4, C40, C41, C42, C43, C44, C45, C46, C7",C_0603,29,0.1µF,GRM188R72A104MA35J,C46
"C10, C6, C8, C9",C2012X5R1V226M125AC,4,22µF,C2012X5R1V226M125AC,
C11,C_0603,1,6800pF,GRM1885C1H682JA01D,
C14,C_0603,1,4.7µF,GRM188R6YA475KE15D,
"C15, C16",C_0603,2,10µF,GRM188R6YA106MA73D,
C17,C_0603,1,22µF,GRM188C61E226ME01J,
C20,C_0603,1,0.22µF,GRM188R71H224KAC4D,
C24,ECA-1VM101,1,100µF,ECA-1VM101,
C27,EEU-HD1V682_Right-Angle,1,6800µF,EEU-HD1V682,
"C34, C38",C_0603,2,1µF,GRM188D71H105KE01J,
"C36, C37",C_0603,2,2.2µF,GRM188R61E225KA12J,
C5,C_0603,1,18pF,GRM1885C2E180JW07D,
"D1, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4",ESD5Z3.3T1G,15,ESD5Z3.3T1G,ESD5Z3.3T1G,
"D10, D7",LED_0805,2,LTST-C171GKT,LTST-C171GKT,
D5,SZSMF6L28AT3G,1,SZSMF6L28AT3G,SZSMF6L28AT3G,
"D6, D8",BZT52C10T-7,2,BZT52C15T-7,BZT52C10T-7,
D9,SS26FL,1,SS26FL,SS26FL,
F1,3413.0326.22,1,10A Slow Blow,3413.0328.22,
FB1,MPZ1608S221ATA00,1,220 Ohms,MPZ1608S221ATA00,
J1,54-00128,1,54-00128,54-00128,
J2,CONN_2169890002_MOL,1,2169890002,2169890002,
"J3, J6",530470210,2,0530470210,0530470210,
J4,JST_PHD_B34B-PHDSS_2x17_P2.00mm_Vertical,1,B34B-PHDSS,B34B-PHDSS,
J5,0530470810,1,0530470810,0530470810,
"J7, J8, J9",0530470410,3,0530470410,0530470410,
L1,CLF7045NIT-4R7N-D,1,4.7µH,CLF7045NIT-4R7N-D,
L2,CLF5030NIT-150M-D,1,15µH,CLF5030NIT-150M-D,
"Q1, Q2",MMBT2222A-7-F,2,MMBT2222A-7-F,MMBT2222A-7-F,
"R1, R10, R16, R23, R33, R7",R_0603,6,15kΩ,RMCF0603FG15K0,
"R11, R2, R5",R_0603,3,220kΩ,RMCF0603FT220K,
"R12, R3",R_0603,2,3kΩ,RMCF0603FT3K00,
"R13, R24, R27, R36, R4",R_0603,5,100kΩ,RMCF0603FG100K,
"R14, R31",R_0603,2,51kΩ,RMCF0603FT51K0,
"R15, R30, R50, R51, R6",R_0603,5,100Ω,RMCF0603FG100R,
"R17, R8",R_0603,2,24kΩ,RMCF0603FG24K0,
R18,R_0603,1,178kΩ,RMCF0603FT178K,
"R19, R58",R_0603,2,0R,RMCF0603ZT0R00,R19
R20,R_0603,1,402kΩ,RMCF0603FT402K,
"R21, R26, R28, R34, R35, R41, R43, R45, R47, R52, R54, R59",R_0603,12,10KΩ,RMCF0603FG10K0,
R22,R_0603,1,20KΩ,RMCF0603FG20K0,
"R25, R32, R42, R44, R46, R53, R55",R_0603,7,1KΩ,RMCF0603FG1K00,
R29,R_2512,1,220Ω,RPCQ2512JT220R,
"R37, R38",R_2010,2,400mΩ,CSRN2010FKR400,
"R39, R40",R_0603,2,5.1KΩ,RMCF0603FT5K10,
R48,R_0603,1,33Ω,RMCF0603FT33R0,
R49,R_0603,1,280Ω,RMCF0603FT280R,
"R56, R57",R_0603,2,4.7KΩ,RMCF0603FT4K70,
R9,R_0603,1,365kΩ,RMCF0603FT365K,
"RN1, RN2",RAVF_164D,2,10kΩ,RAVF164DJT10K0,
"RN3, RN4",RAVF_164D,2,33Ω,RAVF164DJT33R0,
SW1,PTS636 SP50 SMTR LFS,1,PTS636 SP50 SMTR LFS,PTS636 SP50 SMTR LFS,
"U1, U2, U3, U4",SOT-23-5,4,MIC7211YM5-TR,MIC7211YM5-TR,
U10,QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm_ThermalVias,1,A4985SESTR-T,A4985SESTR-T,
U11,SOT95P280X145-6N,1,USBLC6-2SC6,USBLC6-2SC6,
U12,8-SOIC_5.3x8.2,1,ATTINY85-20SU,ATTINY85-20SU,ATTINY85-20SU
U13,DIP-8_W7.62mm,1,ATTINY85-20PU,ATTINY85-20PU,
U14,SN74LVC541ARGYR,1,SN74LVC541ARGYR,SN74LVC541ARGYR,
U15,SOT-23-6,1,SN74LVC2G34DBVR,SN74LVC2G34DBVR,
U16,STM32H743VIT6,1,STM32H743VIT6,STM32H743VIT6,
U17,W25Q128JVSIQ,1,W25Q128JVSIQ,W25Q128JVSIQ,W25Q128JVSIQ
U5,SQM120P06-07L_GE3,1,SQM120P06-07L_GE3,SQM120P06-07L_GE3,
U6,BD9E302EFJ-E2,1,BD9E302EFJ-E2,BD9E302EFJ-E2,
U7,SI3474DV-T1-BE3,1,SI3474DV-T1-BE3,SI3474DV-T1-BE3,
U8,BD9G102G-LBTR,1,BD9G102G-LBTR,BD9G102G-LBTR,
U9,LD39200PU33R,1,LD39200PU33R,LD39200PU33R,
Y1,CSTNE8M00G550000R0,1,8Mhz,CSTNE8M00G550000R0,
